c	박근혜 시정연설	기억하는 사람들에게 박근혜 대통령의 국회 시정연설은 그와 비슷해야 하지 않느냐는 의견도 많은 편입니다. ' 박근혜의 시정연설을 사수하라' 박근혜 대통령이 취임 첫 국회 시정연설을 하는 오늘, 국회 사정은 그리 좋지 않습니다. 민주당과
c	국정원 개혁특위	것"이라고 설명했다. 이에 따라 새누리당 최 원내대표는 민주당 측과 접촉에 나설 것으로 보인다. 그러나 민주당은 국정원 개혁 특위와 국가기관의 대선개입 의혹에 대한 특검 도입을 거듭 주장하고 있어 여야 협상은 난항을 겪을 것으로 보인다.
c	강기정 몸싸움	강기정 의원 법적 조치 하겠다. 청와대 직원(경찰)에 의한 강기정 의원 폭행을 거꾸로 강기정의 폭행이라며 처벌하겠다? 청와대 직원 폭행 항의를 하며 몸싸움 발생 그와중에 청와대 직원 입술에 피 난거 빌미로 폭행이다? 몸싸움 난리통 상황에서
c	조명균 기자회견	사무실에서 검찰의 남북정상회담 회의록 수사 결과에 대한 반박 기자회견을 하고 있다. 오른쪽은 노무현재단 이병완 이사장. [최승식 기자]NLL(북방한계선) 대화록 논란의 열쇠를 쥔 조명균 전 청와대 안보정책비서관이 17일 검찰 수사 결과를
s	한화 정근우 이용규	[매경닷컴 MK스포츠(서귀포) 전성민 기자] 자유계약선수(FA) 계약을 맺은 정근우와 이용규가 한화 이글스에 최대한 빨리 융화되겠다는 뜻을 전했다. 정근우와 이용규는 19일 제주 서귀포시에서 취재진과 인터뷰를 가졌다. 정근우와 이용규는
s	삼성 캔버라	야구인이 2013 아시아시리즈에 출전하는 프로야구 삼성 라이온즈를 두고 한 말이다. 결과적으로 삼성은 18일 준결승서 호주 챔피언 캔버라 캐벌리에게 5-9로 패하면서 결승 진출이 좌절됐다. 동시에 삼성을 향한 비난이 각종 인터넷 사이트와
e	변호인 예고편	시대를 어떻게 살아나갔는지를 '변호인'을 통해 보여주려 했다'고 연출의 변을 밝혔다. 연출의 방향에 대해서는 "사실을 왜곡하거나 미화한 것은 없다"면서 최대한 객관적 시선을 견지하려 했음을 밝혔다. 영화의 예고편이 공개된 뒤 인터넷상에서
s	GSP 헨드릭스	[데일리안 스포츠 = 김태훈 기자] ◇ [UFC 167]생피에르전에서 아쉽게 패한 헨드릭스. ⓒ UFC '절대 챔피언' 조르쥬 생피에르(32·캐나다)라는 대어를 낚을 뻔했던 체급랭킹 1위 조니 헨드릭스(30·미국)가 벨트를 놓치고
s	최준석 롯데	소속팀 두산과의 협상에서 합의에 실패해 17일 자정을 기점으로 시장에 나왔다. 거포부재에 골머리를 앓던 롯데는 최준석을 영입하는데 성공, 공격력 강화를 기대하고 있다. 2001년 롯데에 입단한 최준석은 2006년 트레이드를 통해 두산으로
c	대정부질문	집중 제기…전임 시장 흔적 지우려 예산 낭비 주장도] 29일 오후 국회에서 새누리당 김성태 의원 인터뷰 국회의 대정부 질문 일정 첫날 새누리당이 박원순 서울시장을 정조준했다. 첫번째 질의자로 나선 김성태 새누리당 의원이 서울시 구룡마을
e	오로라공주 하차공지	죽거나 급작스럽게 하차하는 경우는 비일비재한 사항이다. 그러나 '오로라공주'처럼 인물들이 상관없이, 뜬금없이, 맥락 없이 죽거나 하차 하는 것은 큰 문제점이다. 미리 공지된 사항이라 하더라도 사임당의 죽음은 황당하기 그지없었다. 이에
c	삼성코닝 직원	있다. 삼성코닝 노조는 지난 주말 사측과 가진 위로금 협상에서 1인당 5억원의 위로금을 요구했다. 직원수가 4000명 이상인 것을 감안하면 위로금 총액은 2조원을 훌쩍 넘어선다. 노조는 "내년 코닝사로 편입되면 더 이상 삼성직원이 아니다"면서
